municipio,ano,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Santa Maria Das Barreiras,2005,0.7127632079787599,0.8279949331818457,0.47084875947112537,0.6029414760313282,1633.6857547472944,25.401293107887994,29.45889104944031,16.997621882857107,1611.0093954229126,1506583,3000.0
Santana Do Araguaia,2005,0.7237034691273636,0.8454859976414744,0.4732088742566583,0.6237340824208597,1719.4720118410514,25.3286731147754,29.401014314990398,17.01650784479313,1843.1245511157783,1506708,3300.0
Santarem,2005,0.5664278773630415,0.7987681151126667,0.37873326949458974,0.5994726761437931,1667.281924706572,26.29740610484785,29.57287198836311,16.468464624904186,1918.5778371945075,1506807,3000.0
Tracuateua,2005,0.6127190394187325,0.8401262041058359,0.4057137262391345,0.6278805879454329,1674.2585392120443,26.419782442979766,29.798397020951892,16.843464768480064,1785.011042668501,1508035,2400.0
Trairao,2005,0.7014828463689262,0.9023782287849719,0.45648266845325797,0.669252300216235,1518.4336408071777,25.29631076336765,29.436213248416866,16.007593804275345,2176.1397388321143,1508050,2700.0
Ulianopolis,2005,0.6408198704515948,0.8738233320259102,0.4294788012179556,0.647545376512483,1439.9370890213565,26.222634285879256,30.632199535742686,17.56264741334026,2580.782927144241,1508126,3290.0
Uruara,2005,0.6344287030992323,0.9046490299604523,0.4348549867752788,0.6936450101489339,1512.5140740714874,25.31020805908941,29.564323295651878,15.8670513353438,2563.355358392278,1508159,1680.0
Alenquer,2006,0.6732166553127129,0.9015999288940175,0.4508987027403274,0.6820001699066055,1928.1050359721958,24.48398857847628,28.70351886010833,15.525450151102103,2814.8386392319294,1500404,2700.0
Altamira,2006,0.6344890816258463,0.8931820779445542,0.4228595788341276,0.6646323864380449,2080.4397344897566,24.250309740965978,28.218263876223816,14.92186441862854,1993.6639273546216,1500602,2000.0
Belterra,2006,0.45705459993396413,0.718515872103364,0.31826075826978806,0.555477958249932,2265.468236321994,25.585653257133494,28.258205065755455,14.72631649860985,1128.7876618244404,1501451,2400.0
Capanema,2006,0.6683524607232525,0.8666672161966315,0.45547991197838616,0.6810446114843692,1837.3715542152984,25.833863723532648,29.566709969496525,15.82741136062471,1336.0816484195025,1502202,2400.0
Capitao Poco,2006,0.67028121561718,0.86688550768406,0.4492812458697471,0.6589938509615855,2028.2848937627073,25.8518742236555,30.177311914468596,16.096373019237085,1968.9963223693383,1502301,2800.0
Conceicao Do Araguaia,2006,0.6679987949272187,0.8190421668004876,0.439925083297632,0.6025090917766927,1691.970935812552,25.66073285561801,29.56829344032149,16.681008236213316,1171.5987232648054,1502707,3000.0
Dom Eliseu,2006,0.6434337309505136,0.8752171631787546,0.42254442155876787,0.6421420353732302,2077.5202584726717,25.053290090051682,29.22300479294945,15.749423728285235,2312.082971427085,1502939,3300.0
Floresta Do Araguaia,2006,0.6643102100701966,0.8231688915477496,0.43657225640069597,0.5974623359506119,1714.1932857630604,25.556608340505537,29.352551102305586,16.523987091651385,1154.8232631665658,1503044,3000.0
