municipio,ano,soy_area_ha,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Conceicao Do Araguaia,2012,15.75271395874023,0.5505357142857144,0.6734,0.3639071428571429,0.5026,1517.40472835639,25.70882420675062,29.81487698752077,17.84788603639814,1254.402691385173,1502707,3300
Cumaru Do Norte,2012,68.83705227050783,0.6533969387755103,0.8552857142857143,0.500841836734694,0.7473285714285716,1745.691533814221,24.13653967038911,28.38611674943907,17.18045555899274,1791.645725878725,1502764,2250
Dom Eliseu,2012,11751.1226473062,0.4210006088627963,0.8610708245221275,0.3126392629683079,0.7716340053621759,1327.692395423115,25.32547593286089,29.71585507957108,17.516987334493,2721.325387435829,1502939,3300
Floresta Do Araguaia,2012,154.4338082214358,0.6536445054945056,0.8714461538461538,0.4764964285714285,0.7880346153846153,1450.960004895565,25.57809353679694,29.54321999178996,17.66649239882037,1224.030839032961,1503044,3000
Paragominas,2012,26325.1865279406,0.4693469511931832,0.8714076068849115,0.3544794254591621,0.7898324087875245,1343.493667395938,25.84703960021004,30.50038698057367,17.87865674551576,3252.753823921606,1505502,3500
Redencao,2012,387.2285257767997,0.6474011709601875,0.889122950819672,0.4730218969555038,0.7781180327868852,1718.016149549406,25.11078014517187,29.19079052386788,17.33043744981867,1238.30734721142,1506138,2500
Rondon Do Para,2012,865.0592914487291,0.4151564696310536,0.8687269977573178,0.3115126435400645,0.7874337228517473,1652.18596981523,25.26906230518064,29.5352213002691,17.48735571832841,2237.277288845102,1506187,3000
Santa Maria Das Barreiras,2012,1746.022023103686,0.6148343253968254,0.8606548611111102,0.4433370535714286,0.7677180555555558,1667.155390572261,25.04430000332138,29.22669081947464,17.41762297974991,1582.703322917837,1506583,2740
Santana Do Araguaia,2012,5624.357580859757,0.6492362126245845,0.8863820295983084,0.4701682271217156,0.7933915433403804,1643.31070638756,24.98939715177236,29.22577462252932,17.43004834965627,1818.726333538961,1506708,3300
Santarem,2012,6019.900187848962,0.4379888308869135,0.8532085030867029,0.3348148129986941,0.7610976345967138,1565.239292245035,25.78180074545844,28.97898038764351,16.50723305298301,1844.697426841433,1506807,2700
Ulianopolis,2012,6536.658638279094,0.4489310420979991,0.8898332367149766,0.3444318633540374,0.8315047342995158,1165.498804695587,25.6210550695542,29.98319635416744,17.67739478365046,2378.156699250329,1508126,2943
Uruara,2012,152.7420316345208,0.4173790816326531,0.8454928571428573,0.310951530612245,0.6679071428571427,1357.601520631534,24.82478540080436,28.87452498340474,15.77335313509767,2436.031996151895,1508159,3120
Belterra,2013,4469.236240588384,0.4322838625287044,0.8398493551372707,0.3272189048097091,0.739047202856564,2074.702461449155,26.34374356640132,29.03792010115049,16.05304648426284,1353.424833790955,1501451,2700
Conceicao Do Araguaia,2013,52.03438441772458,0.555374358974359,0.7214,0.3913871794871795,0.5909666666666668,1488.048114599684,26.08742725381185,30.09704801410914,17.63412271616449,1246.209761049862,1502707,3300
